domain,name,service_name,address,phone,email,site_title,meta_title,meta_description,logo_url
clevelandauto.com,Cleveland Auto,auto repair,"{""street"":""1717 Euclid Ave"",""city"":""Cleveland"",""state"":""OH"",""country"":""US""}",216-555-1717,auto@clevelandauto.com,Cleveland Auto in Cleveland,"Cleveland's Trusted Auto Repair","Auto repair in Cleveland, OH.",cleveland_logo.png
sacramentoroofing.com,Sacramento Roofing,roofing,"{""street"":""1818 Capitol Mall"",""city"":""Sacramento"",""state"":""CA"",""country"":""US""}",916-555-1818,roof@sacramentoroofing.com,Sacramento Roofing in Sacramento,"Sacramento's Top Roofing","Roofing in Sacramento, CA.",sacramento_logo.png
newyorkcleaners.com,New York Cleaners,cleaning,"{""street"":""1919 Broadway"",""city"":""New York"",""state"":""NY"",""country"":""US""}",212-555-1919,clean@newyorkcleaners.com,New York Cleaners in New York,"NYC's Best Cleaners","Cleaning in New York, NY.",nyc_logo.png
seattleroofers.com,Seattle Roofers,roofing,"{""street"":""2020 Rainier Ave"",""city"":""Seattle"",""state"":""WA"",""country"":""US""}",206-555-2020,roof@seattleroofers.com,Seattle Roofers in Seattle,"Seattle's Roofing Pros","Roofing in Seattle, WA.",seattle_logo.png
miamiremodeling.com,Miami Remodeling,remodeling,"{""street"":""2121 Ocean Dr"",""city"":""Miami"",""state"":""FL"",""country"":""US""}",305-555-2121,remodel@miamiremodeling.com,Miami Remodeling in Miami,"Miami's Remodeling Experts","Remodeling in Miami, FL.",miami_remodel_logo.png
stlouishandyman.com,St. Louis Handyman,handyman,"{""street"":""2222 Market St"",""city"":""St. Louis"",""state"":""MO"",""country"":""US""}",314-555-2222,handyman@stlouishandyman.com,St. Louis Handyman in St. Louis,"St. Louis's Best Handyman","Handyman in St. Louis, MO.",stlouis_logo.png
kansascityhvac.com,Kansas City HVAC,hvac,"{""street"":""2323 Main St"",""city"":""Kansas City"",""state"":""MO"",""country"":""US""}",816-555-2323,hvac@kansascityhvac.com,Kansas City HVAC in Kansas City,"Kansas City's HVAC Pros","HVAC in Kansas City, MO.",kansascity_logo.png
indianapolisplumbing.com,Indianapolis Plumbing,plumber,"{""street"":""2424 Meridian St"",""city"":""Indianapolis"",""state"":""IN"",""country"":""US""}",317-555-2424,plumb@indianapolisplumbing.com,Indianapolis Plumbing in Indianapolis,"Indy's Plumbing Experts","Plumbing in Indianapolis, IN.",indy_logo.png
columbuslocksmith.com,Columbus Locksmith,locksmith,"{""street"":""2525 High St"",""city"":""Columbus"",""state"":""OH"",""country"":""US""}",614-555-2525,lock@columbuslocksmith.com,Columbus Locksmith in Columbus,"Columbus's Trusted Locksmith","Locksmith in Columbus, OH.",columbus_logo.png
charlottepainters.com,Charlotte Painters,painting,"{""street"":""2626 Tryon St"",""city"":""Charlotte"",""state"":""NC"",""country"":""US""}",704-555-2626,paint@charlottepainters.com,Charlotte Painters in Charlotte,"Charlotte's Best Painters","Painting in Charlotte, NC.",charlotte_logo.png
jacksonvillelawns.com,Jacksonville Lawns,landscaping,"{""street"":""2727 Beach Blvd"",""city"":""Jacksonville"",""state"":""FL"",""country"":""US""}",904-555-2727,lawns@jacksonvillelawns.com,Jacksonville Lawns in Jacksonville,"Jacksonville's Lawn Pros","Lawn care in Jacksonville, FL.",jacksonville_logo.png
memphisauto.com,Memphis Auto,auto repair,"{""street"":""2828 Union Ave"",""city"":""Memphis"",""state"":""TN"",""country"":""US""}",901-555-2828,auto@memphisauto.com,Memphis Auto in Memphis,"Memphis's Trusted Auto Repair","Auto repair in Memphis, TN.",memphis_logo.png
